row,generated_probe1_false_detection,relative_attention_max_relative_weight,relative_attention_mean_relative_weight,relative_attention_focus_share,is_fail
generated_probe1_false_detection,1.0,0.3392154721179682,0.3836521983015136,0.5365072887152537,1.0
relative_attention_max_relative_weight,0.3392154721179682,1.0,0.9843324795546708,0.8126885167335052,0.3392154721179682
relative_attention_mean_relative_weight,0.3836521983015136,0.9843324795546708,1.0,0.7711391984916398,0.38365219830151354
relative_attention_focus_share,0.5365072887152537,0.8126885167335052,0.7711391984916398,1.0,0.5365072887152537
is_fail,1.0,0.3392154721179682,0.38365219830151354,0.5365072887152537,1.0
